Team,Opponent,Result,Season,Win_p1,Win_p2,Win_p3,Win_p4,Win_p5,Win_p6,Win_p7,Win_p8,Lose_p1,Lose_p2,Lose_p3,Lose_p4,Lose_p5,Lose_p6,Lose_p7,Lose_p8,Draw_p1,Draw_p2,Draw_p3,Draw_p4,Draw_p5,Draw_p6,Draw_p7,Draw_p8
Cardiff City,Brighton,W,2019,0.799094655344655,0.6703889787302245,0.7591727080109433,0.7360253196940441,0.7309712527109973,0.7174562046989773,0.765053569388128,0.7107932817932692,0.11638642607392606,0.08757305789483633,0.0862279168200221,0.06982053598676294,0.13098308799044095,0.09785343280361243,0.10243231768231768,0.09294635435248333,0.07833485958485957,0.0833933970122512,0.058514069264069254,0.06202705913246516,0.08827052114552114,0.09845160365392991,0.07756968031968031,0.08656189626132128
Cardiff City,Everton,L,2019,0.025695415695415696,0.05189165827304229,0.03751742742551566,0.04924406980289641,0.02082704795204796,0.05564341391720544,0.061895333832833827,0.06174570531875049,0.915573301698302,0.8323545009230958,0.9222122297851786,0.8630514411050376,0.9179606782106781,0.8367480465864456,0.9040723651348651,0.8545371179436154,0.09012481676819913,0.09997340407165943,0.03890133477633477,0.08209445051235086,0.0586691246060441,0.11502092758521336,0.07361269002755068,0.09893222087207544
Cardiff City,Wolves,W,2019,0.7999124625374625,0.684857512430892,0.7803912305015246,0.7008031330528057,0.765769277291336,0.7055247332119812,0.8269552649148235,0.7121708608334949,0.09149166805416804,0.12058609190652957,0.14454334554334558,0.10133794302585013,0.18268839493839495,0.11077370937564852,0.10319559811103929,0.11400022744173223,0.10681394993894992,0.0914980877739131,0.12789971139971137,0.07024796454682602,0.12994997743914152,0.1043409959531124,0.09714298201798201,0.08210215831072416
Cardiff City,West Ham,L,2019,0.07454096801890919,0.06368495918875038,0.06578681775740597,0.06489823492482881,0.06673730436230435,0.07063575676134504,0.06998150134179545,0.06019658824004041,0.8130013875013878,0.8277179297106616,0.8431228554941791,0.8140252954501969,0.8154868415897829,0.8311267905916537,0.7972488136863136,0.8383072798200432,0.08097222222222221,0.055054938229982794,0.10317427833604302,0.051023145366078805,0.05635616670910788,0.06015979906956249,0.06693027805527804,0.05211366032282128
Cardiff City,Southampton,W,2019,0.6869758754317574,0.5590050894271651,0.6447040386084503,0.5708883419582682,0.648831889623105,0.5585085667141209,0.7085521243462419,0.5845895254047628,0.09659561272061272,0.1381221084786316,0.13367303529803531,0.13479830072500573,0.1395218686542216,0.13489245798990632,0.11292250315044429,0.12179353421868974,0.278529519092019,0.22873806123869367,0.28152263745026906,0.19147914029902918,0.2734081176176765,0.23325894278462667,0.2534479352347,0.22864513603287784
Cardiff City,Watford,L,2019,0.20661052999288296,0.10670266660795955,0.14478994453259159,0.1251863617594914,0.149695251643781,0.11676191498597208,0.1569649619171678,0.13107743258121804,0.7655129662004663,0.7344033412376914,0.7430071240034476,0.7254663885591143,0.7772632327897423,0.7523837263785356,0.7573313283938283,0.7200039134481669,0.10967460317460315,0.08613973835043871,0.07296251787428258,0.0679624366169339,0.05168398268398267,0.07540886504363406,0.07279641926700749,0.0729720322617515
Cardiff City,Manchester Utd,L,2019,0.08361353923853924,0.08594613037225195,0.09956738604532718,0.09019387043997992,0.07977598790098789,0.10789448262703097,0.06787130924630923,0.09853226361445139,0.7666016622266624,0.7714974769566306,0.7697570109628934,0.7851661060479888,0.7641761971688443,0.7839207526379893,0.7974692945942944,0.7621115653924124,0.1256771737034895,0.13801139284471425,0.13932471694971688,0.12158546663424852,0.15670828844358262,0.12545758601475338,0.19038354537619243,0.1375937125946521
Cardiff City,Crystal Palace,D,2019,0.18382165914151213,0.13173073682052439,0.22652054971172614,0.13664918611020002,0.17284020146520146,0.13766246553123154,0.16342986180486183,0.13350826980935296,0.26938773195758486,0.2583853211766172,0.3103560328560329,0.2522200029184791,0.3492909780278201,0.2683135239630136,0.32329499688478025,0.33896672327063,0.6500610267999974,0.6716897692358974,0.6391000180375183,0.649517613644728,0.6330459324172558,0.6195488882301032,0.5957214884788414,0.6377223924318162
Cardiff City,Leicester City,W,2019,0.18391486291486295,0.09857539585813976,0.24578350897468543,0.12551307009608204,0.14507817182817184,0.13443992827192777,0.14063393550893552,0.1331844347447405,0.7927494727494728,0.75299209590318,0.7399949784692432,0.7591895604185024,0.7439015012765011,0.7761998276950928,0.7456075933870049,0.759969183703559,0.27913517732267723,0.18254081430736413,0.23478857947607945,0.1696223192749348,0.22873089859486925,0.17160063575565102,0.22492810702369526,0.17146592278480294
Cardiff City,Tottenham,L,2019,0.18686417748917752,0.11324376894135735,0.1516465070876835,0.13063930612543637,0.1646480137509549,0.14597831958183843,0.16230767843267838,0.14012849552267034,0.7480474927119662,0.7391004896788295,0.7332656555261042,0.7611865518839527,0.732038796171149,0.7351792363997879,0.7172896319366905,0.7149579391706523,0.26532869091692624,0.1982872872218509,0.243146638084138,0.18351878231732105,0.23353421496803858,0.1896338783612119,0.24725712522771343,0.1887199067717327
Cardiff City,Huddersfield,D,2019,0.1928824276213982,0.16578489001132976,0.1649717574092574,0.17544001969225512,0.26602713463007577,0.2124903944873631,0.18930333636951285,0.18682918948627955,0.27842978834890597,0.26807651743925476,0.2589661033411034,0.2848593325313602,0.32475080200157597,0.25096705804520997,0.30500063335357447,0.2509952181714376,0.589414920970842,0.5940910178802983,0.5185041837247722,0.5608680331004847,0.6283085309298545,0.583797122608745,0.5767192252192253,0.5416777123591013
